00:24:27.531 [main] INFO  com.business.Utilities.Base - chrome-headless launched
00:24:32.908 [main] INFO  com.business.Utilities.Base - browser closed
00:24:56.236 [main] INFO  com.business.Utilities.Base - chrome launched
00:25:00.686 [main] INFO  com.business.Utilities.Base - browser closed
00:27:15.183 [main] INFO  com.business.Utilities.Base - chrome launched
00:27:18.708 [main] INFO  com.business.Utilities.Base - browser closed
00:27:46.335 [main] INFO  com.business.Utilities.Base - chrome launched
00:28:31.077 [main] INFO  com.business.Utilities.Base - chrome launched
00:29:28.121 [main] INFO  com.business.Utilities.Base - chrome launched
00:30:09.827 [main] INFO  com.business.Utilities.Base - chrome launched
00:33:11.696 [main] INFO  com.business.Utilities.Base - chrome launched
00:33:14.826 [main] INFO  com.business.Utilities.Base - browser closed
